ID,strain,plate,time,well,wavelength,od,fold,rate
PM1_F12,13A,PM1,144,F12,600,0.455,1.0133630289532294,0.0
PM1_G1,13A,PM1,144,G1,600,0.157,0.7168949771689498,-0.0010753284981613578
PM1_G2,13A,PM1,144,G2,600,0.166,0.8556701030927836,-0.004782313108017846
PM1_G3,13A,PM1,144,G3,600,0.262,1.0234375,0.00031685830771746717
PM1_G4,13A,PM1,144,G4,600,0.324,0.9759036144578314,0.00012840277239200477
PM1_G5,13A,PM1,144,G5,600,0.337,1.059748427672956,-0.000497518348829911
PM1_G6,13A,PM1,144,G6,600,0.163,0.4578651685393259,-0.0018289247315510574
PM1_G7,13A,PM1,144,G7,600,1.309,1.1018518518518519,0.00031709945030894844
PM1_G8,13A,PM1,144,G8,600,0.473,0.9347826086956521,0.00017580898094617873
PM1_G9,13A,PM1,144,G9,600,0.291,1.0069204152249136,-0.0005767104754946444
PM1_G10,13A,PM1,144,G10,600,0.143,0.8562874251497005,0.0005787130066944622
PM1_G11,13A,PM1,144,G11,600,0.565,1.1391129032258063,0.001378135486741092
PM1_G12,13A,PM1,144,G12,600,0.47,1.1163895486935866,0.0013948303831828976
PM1_H1,13A,PM1,144,H1,600,0.506,1.1072210065645514,0.0009766072071673998
PM1_H2,13A,PM1,144,H2,600,0.419,1.1173333333333333,-0.0005002060873676406
PM1_H3,13A,PM1,144,H3,600,0.454,1.0682352941176472,9.167587123343073e-05
PM1_H4,13A,PM1,144,H4,600,0.335,0.9682080924855493,0.0003714734857480137
PM1_H5,13A,PM1,144,H5,600,0.333,1.009090909090909,0.0
PM1_H6,13A,PM1,144,H6,600,0.267,0.9925650557620818,0.00031094671673289974
PM1_H7,13A,PM1,144,H7,600,0.391,1.0371352785145889,0.0005294438028797867
PM1_H8,13A,PM1,144,H8,600,0.252,0.923076923076923,0.0006561815403391297
PM1_H9,13A,PM1,144,H9,600,0.421,1.0525,-9.908843354030982e-05
PM1_H10,13A,PM1,144,H10,600,0.377,1.0272479564032697,0.0007665568808215041
PM1_H11,13A,PM1,144,H11,600,0.162,0.6864406779661018,-0.0013062720785031684
PM1_H12,13A,PM1,144,H12,600,0.185,0.9203980099502487,0.0004480329906775798
PM1_A1,13A,PM1,144,A1,750,0.319,0.9550898203592814,0.00013041220870531523
PM1_A2,13A,PM1,144,A2,750,0.34,1.0303030303030303,0.0002443799771832524
PM1_A3,13A,PM1,144,A3,750,0.442,1.054892601431981,0.0
PM1_A4,13A,PM1,144,A4,750,0.512,1.302798982188295,0.002063913963428193
PM1_A5,13A,PM1,144,A5,750,0.179,0.8994974874371858,0.0039924134540513965
PM1_A6,13A,PM1,144,A6,750,0.322,1.0697674418604652,0.0008960918842068201
PM1_A7,13A,PM1,144,A7,750,0.202,0.9805825242718448,0.00020576173502427403
PM1_A8,13A,PM1,144,A8,750,0.292,0.9898305084745762,0.0002844152112666621
PM1_A9,13A,PM1,144,A9,750,0.285,1.0178571428571426,0.00043630416113730986
PM1_A10,13A,PM1,144,A10,750,0.64,1.0774410774410774,-0.002000384132765025
PM1_A11,13A,PM1,144,A11,750,0.509,1.1286031042128604,0.0010508154721715045
PM1_A12,13A,PM1,144,A12,750,0.518,1.0401606425702812,0.00040025924189333054
PM1_B1,13A,PM1,144,B1,750,0.27,1.003717472118959,0.0001540359117219251
PM1_B2,13A,PM1,144,B2,750,0.286,0.9896193771626297,0.0004347865538574789
PM1_B3,13A,PM1,144,B3,750,0.146,0.5140845070422535,0.0002844152112666621
PM1_B4,13A,PM1,144,B4,750,0.332,1.077922077922078,0.0
PM1_B5,13A,PM1,144,B5,750,0.347,1.026627218934911,-0.00024084845481247606
PM1_B6,13A,PM1,144,B6,750,0.412,1.0645994832041343,-0.019180904930583272
PM1_B7,13A,PM1,144,B7,750,0.27,0.9030100334448161,-0.0004655541915885495
PM1_B8,13A,PM1,144,B8,750,0.337,0.9970414201183432,0.0003692786357435552
PM1_B9,13A,PM1,144,B9,750,0.219,0.9358974358974358,-0.00378143180285267
PM1_B10,13A,PM1,144,B10,750,0.363,0.9731903485254692,-0.007253794069059963
PM1_B11,13A,PM1,144,B11,750,0.261,0.6641221374045801,-0.018356517829976438
PM1_B12,13A,PM1,144,B12,750,0.163,0.5469798657718121,-0.002096878495313157
PM1_C1,13A,PM1,144,C1,750,0.339,1.1491525423728814,0.0004887641577287333
PM1_C2,13A,PM1,144,C2,750,0.145,0.8841463414634145,0.00028636997032341875
PM1_C3,13A,PM1,144,C3,750,0.522,1.2253521126760565,0.00047619565931761873
PM1_C4,13A,PM1,144,C4,750,0.148,0.6090534979423868,-0.0005669021689907749
PM1_C5,13A,PM1,144,C5,750,0.393,0.42857142857142855,0.0006313252091917602
PM1_C6,13A,PM1,144,C6,750,0.412,1.1540616246498598,0.0009003951805356303
PM1_C7,13A,PM1,144,C7,750,0.542,1.12448132780083,0.0007617518682270447
PM1_C8,13A,PM1,144,C8,750,0.966,1.2059925093632957,0.0
PM1_C9,13A,PM1,144,C9,750,0.186,0.42660550458715596,-0.004739953556527413
PM1_C10,13A,PM1,144,C10,750,0.269,0.5358565737051794,0.00015460747485564807
PM1_C11,13A,PM1,144,C11,750,0.383,1.110144927536232,0.0005404312684428085
PM1_C12,13A,PM1,144,C12,750,0.365,1.0110803324099724,0.0002276872696699477
PM1_D1,13A,PM1,144,D1,750,0.334,1.0151975683890577,0.00012456411868191607
PM1_D2,13A,PM1,144,D2,750,0.199,0.9299065420560748,0.00020885590931434139
PM1_D3,13A,PM1,144,D3,750,0.254,1.0119521912350598,0.0001637199224953982
PM1_D4,13A,PM1,144,D4,750,0.392,1.0980392156862746,0.0
PM1_D5,13A,PM1,144,D5,750,0.366,0.6019736842105263,0.0011231587495220123
PM1_D6,13A,PM1,144,D6,750,0.181,0.923469387755102,-0.00023084084898397316
PM1_D7,13A,PM1,144,D7,750,0.282,1.0291970802919705,0.0001474927793801661
PM1_D8,13A,PM1,144,D8,750,0.369,1.0482954545454546,0.0007830208062236384
PM1_D9,13A,PM1,144,D9,750,0.6,1.1152416356877322,0.000688720914633771
PM1_D10,13A,PM1,144,D10,750,0.163,0.2979890310786106,-0.00291123666502025
PM1_D11,13A,PM1,144,D11,750,0.165,0.33673469387755106,-0.0031461480211727156
PM1_D12,13A,PM1,144,D12,750,0.408,1.0652741514360313,0.00020374938725799044
